Driver,Points,Poles,Wins,Top5,Top10,Winnings
Tony Stewart,2403,1,5,9,19,6529870
Carl Edwards,2403,3,1,19,26,8485990
Kevin Harvick,2345,0,4,9,19,6197140
Matt Kenseth,2330,3,3,12,20,6183580
Brad Keselowski,2319,1,3,10,14,5087740
Jimmie Johnson,2304,0,2,14,21,6296360
Dale Earnhardt Jr.,2290,1,0,4,12,4163690
Jeff Gordon,2287,1,3,13,18,5912830
Denny Hamlin,2284,0,1,5,14,5401190
Ryan Newman,2284,3,1,9,17,5303020
Kurt Busch,2262,3,2,8,16,5936470
Kyle Busch,2246,1,4,14,18,6161020
Clint Bowyer,1047,0,1,4,16,5633950
Kasey Kahne,1041,2,1,8,15,4775160
A.J. Allmendinger,1013,0,0,1,10,4825560
Greg Biffle,997,3,0,3,10,4318050
Paul Menard,947,0,1,4,8,3853690
Martin Truex Jr.,937,1,0,3,12,3955560
Marcos Ambrose,936,0,1,5,12,4750390
Jeff Burton,935,0,0,2,5,3807780
Juan Montoya,932,2,0,2,8,5020780
Mark Martin,930,2,0,2,10,3830910
David Ragan,906,2,1,4,8,4203660
Joey Logano,902,2,0,4,6,3856010
Brian Vickers,846,0,0,3,7,4301880
Regan Smith,820,0,1,2,5,4579860
Jamie McMurray,795,1,0,2,4,4794770
David Reutimann,757,1,0,1,3,4374770
Bobby Labonte,670,0,0,1,2,4505650
David Gilliland,572,0,0,1,2,3878390
Casey Mears,541,0,0,0,0,2838320
Dave Blaney,508,0,0,1,1,3229210
Andy Lally*,398,0,0,0,0,2868220
Robby Gordon,268,0,0,0,0,2271890
J.J. Yeley,192,0,0,0,0,2559500
